"Cases Entered","Hospital","Country"
37,"Fondazione PTV Policlinico Tor Vergata University Hospital","Italy"
31,"Policlinico Hospital 'G. Rodolico'","Italy"
30,"Istanbul Medeniyet University, Istanbul Goztepe Prof. Dr. Suleyman Yalcin City Hospital","Turkey"
27,"Ibn Sina Specialized Hospital","Sudan"
25,"Chiba University Hospital, Chiba","Japan"
21,"University Hospital of Wales","United Kingdom"
19,"North West Anglia NHS Foundation Trust","United Kingdom"
17,"Università Campus Bio-medico di Roma","Italy"
15,"UConn Health","United States of America"
14,"Royal Liverpool & Broadgreen University Hospital","United Kingdom"
